Sun Jun 20 01:46:48 2021    output.dat

         49206 function calls (48631 primitive calls) in 5.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    2.504    0.835    2.593    0.864 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        3    1.915    0.638    1.915    0.638 {built-in method pandas._libs.tslib.array_to_datetime}
       12    0.350    0.029    0.350    0.029 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
       18    0.113    0.006    0.113    0.006 {method 'astype' of 'numpy.ndarray' objects}
        3    0.098    0.033    0.098    0.033 {pandas._libs.hashtable.ismember_object}
        3    0.095    0.032    0.095    0.032 {pandas._libs.writers.write_csv_rows}
       63    0.061    0.001    0.062    0.001 {pandas._libs.lib.infer_dtype}
    56/44    0.052    0.001    0.053    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
        3    0.049    0.016    0.049    0.016 {pandas._libs.tslib.format_array_from_datetime}
        3    0.049    0.016    0.049    0.016 {pandas._libs.join.inner_join}
        3    0.039    0.013    4.903    1.634 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1055(read)
        3    0.039    0.013    0.039    0.013 {pandas._libs.tslibs.parsing.concat_date_cols}
       15    0.030    0.002    0.043    0.003 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
      360    0.028    0.000    0.028    0.000 {built-in method _codecs.utf_8_decode}
        3    0.026    0.009    0.177    0.059 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1729(_infer_types)
        3    0.019    0.006    4.945    1.648 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:447(_read)
        3    0.017    0.006    0.019    0.006 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1853(__init__)
        1    0.017    0.017    5.687    5.687 C:/Users/Monika Bisht/Desktop/Nunam_Internship/Task_2/Task_2_Processing.py:44(main)
      107    0.013    0.000    0.013    0.000 {built-in method numpy.empty}
        3    0.013    0.004    1.973    0.658 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:3344(_process_date_conversion)
      106    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  328/322    0.012    0.000    0.013    0.000 {built-in method numpy.array}
        3    0.009    0.003    0.433    0.144 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\reshape\merge.py:1390(get_join_indexers)
        6    0.009    0.002    0.237    0.040 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\reshape\merge.py:1413(<genexpr>)
       14    0.009    0.001    0.009    0.001 {built-in method pandas._libs.missing.isnaobj}
        1    0.008    0.008    5.696    5.696 <string>:1(<module>)
10140/10134    0.006    0.000    0.010    0.000 {built-in method builtins.isinstance}
